Country,farms_number,used_agricultural_area_ha,standard_output_EUR,subsistence_semisubsistence_farms,total_labour_persons,total_labour_AWU,nonfamily_labour_persons,nonfamily_labour_AWU,managers_basic_training,managers_only_practical,managers_full_training,managers_training_NA,farms_SO_zero,farms_SO_less2000,farms_SO_2000-3999,farms_SO_4000-7999,farms_SO_8000-14999,farms_SO_15000-24999,farms_SO_25000-49999,farms_SO_50000-99999,farms_SO_100000-249999,farms_SO_250000-499999,farms_SO_500000_orover
Belgium,36890,1354250,8037986420,NA,70910,55350,19800,14810,9940,19100,7850,NA,30,310,580,1380,2410,2670,4310,5130,9010,7170,3880
Bulgaria,202720,4468500,3842891030,0,439740,255520,64490,59100,5360,182310,13350,260,760,105730,35210,22440,13590,8450,6780,4040,2740,1480,1510
Czechia,26530,3455410,NA,4120,130290,103270,81840,71440,4910,11350,10270,NA,80,1150,2840,4350,4320,3050,3200,2400,2230,980,1930
Denmark,35050,2614600,10062442040,0,73320,49480,25780,22840,16340,16340,2370,NA,150,600,790,2480,4920,4740,5510,4260,3910,2170,5510
Germany,276120,16715320,49249020560,0,653760,502610,178640,148330,133520,95600,47000,NA,250,460,6790,21510,33650,29560,37200,40100,53820,32350,20430
Estonia,16700,995100,801547060,4900,38380,19880,13450,11150,1870,10060,4770,NA,1180,5640,2270,1930,1510,1030,1000,800,740,300,280
Ireland,137560,4883650,6324900700,NA,265180,160740,18530,10000,33790,69130,34650,NA,270,11950,11420,19770,24760,20760,20390,11710,12320,3340,870
Greece,684950,4553830,7574803910,109600,1198390,457150,33830,24390,42490,638350,4060,50,5880,209700,127000,121170,93970,58280,47570,15900,4450,710,330
Spain,945020,23229750,38365605150,33400,1866210,822370,351200,188590,186720,737450,17490,3370,11290,191150,141770,153800,131150,84760,85680,67220,51150,15980,11080
France,456520,27814160,61343138670,7040,859750,708170,403750,334590,129340,166570,159480,1130,2950,31340,23140,29060,32690,31170,51600,68000,112690,54410,19470
Croatia,134460,1562980,2034939130,70130,318060,160460,NA,NA,11400,119760,3280,10,310,29660,31910,30820,18670,9130,8100,3610,1480,560,210
Italy,1145710,12598160,51689024310,289880,2045410,897090,231730,111180,1048150,27450,69480,620,11240,164780,214850,188500,152830,108430,117560,89890,65800,18790,13040
Cyprus,34940,111930,616692170,19560,72910,18740,4540,3950,9400,25340,200,NA,190,17950,5940,4300,2490,1200,1140,760,580,230,180
Latvia,69930,1930880,1221341010,27160,162630,76860,21380,13820,10820,37220,21890,NA,1590,32580,10520,9050,5800,3390,3190,1790,1240,460,320
Lithuania,150320,2924600,2226207560,67430,255570,148350,33760,28560,33370,92230,24720,NA,10640,46300,30890,26330,16390,6250,6130,3940,2490,590,390
Luxembourg,1970,130650,365008400,NA,4780,3500,1170,1010,220,700,1040,NA,NA,20,50,90,140,110,210,260,510,450,120
Hungary,430000,4670560,6532474660,257100,814420,394410,111460,96560,72660,338510,18820,NA,10420,253770,54420,39360,26150,15190,13550,8310,5430,1680,1720
Malta,9210,11120,98016860,2630,15420,5340,NA,NA,2740,6420,160,NA,100,5090,1060,1610,450,330,360,160,100,40,20
Netherlands,55680,1796260,23087034100,0,172660,147200,54340,40330,38370,12060,5250,NA,100,50,390,1780,3150,3420,5060,5390,9840,13580,12920
Austria,132500,2669750,6141561460,0,318840,101730,26420,15250,30060,68940,31050,2450,30,14640,11080,16060,18200,15310,20600,19840,13990,2240,510
Poland,1410700,14405650,25005635420,259000,3088250,1649400,122480,109640,244120,779320,387210,50,24210,367130,269780,252790,184700,110260,109160,58940,24480,5800,3450
Portugal,258980,3641690,5144206850,108380,603720,313830,76250,56780,119030,132960,6350,630,1230,88220,57380,41820,25860,14430,12390,8210,6340,2040,1060
Romania,3422030,12502540,12105491800,2956380,6061200,1640120,80960,59080,96550,3308810,13870,2800,47400,2285810,562570,340280,114160,35630,19490,7730,5180,2180,1610
Slovenia,69900,488400,1158773470,40150,196040,82390,2870,2320,24750,35030,10120,NA,30,9980,13250,17860,13330,5840,5170,2900,1300,180,70
Slovakia,25660,1889820,1931433530,15800,79180,47190,38880,32010,3530,19750,2380,NA,660,6200,5710,4950,2640,1340,1200,800,820,450,880
Finland,49710,2233080,3514583720,0,111860,81630,20680,12150,17080,26950,5690,NA,NA,10,4300,7320,8250,6250,7900,6580,6330,1850,930
Sweden,62940,3012640,5158678850,0,129280,55940,22150,14190,6620,42670,13650,NA,2060,2280,7850,12550,9380,6350,6650,5460,5270,2870,2220
United Kingdom,185060,16673270,25403447340,NA,426610,284940,99540,61440,26210,125740,31870,110,2840,13300,14820,19550,20890,17430,23120,21840,25000,14570,11700
